Station,North,South,stationCode
Lynnwood City Center,256,4515,140
Mountlake Terrace,148,1325,141
Shoreline North/185th,113,1078,142
Shoreline South/148th,186,1156,143
Northgate,571,3431,145
Roosevelt,662,3239,146
U District,2422,5433,147
University of Washington,2407,3710,148
Capitol Hill,5657,5018,149
Westlake/Seattle,7414,5128,150
Symphony,2884,2338,151
Pioneer Square,2032,1435,152
International District/Chinatown,3997,1770,153
Stadium,1162,1005,154
SODO,1309,702,155
Beacon Hill,2050,1102,156
Mount Baker,1659,968,157
Columbia City,1750,606,158
Othello,1923,700,160
Rainier Beach,1269,526,161
Tukwila International Blvd,2943,1109,163
SeaTac/Airport,10297,905,164
Angle Lake,5246,31,165
